J,Jpp,Kc_aprox,Kcpp_aprox,active_B0a,active_B0b,active_B0c,active_dipole,active_m,active_polar,active_rms_quadrupole,active_weight,broadness_jeanna,d_act_per,is_self,m,perturber_B0a,perturber_B0b,perturber_B0c,perturber_dipole,perturber_m,perturber_polar,perturber_rms_quadrupole,perturber_weight
64.5,22.5,37.5,31.5,4.828,0.62048896,8.34923939,1.6331,4.0,1.953,0.41295036,2.01588,0.03586361,371.5,0.0,4.0,20.47007,0.1091,5.2412,1.957,2.64,1.67892,1.64048773,28.97
6.5,26.5,64.0,58.5,0.346,0.32192,0.4912,1.957,6.0,3.487,3.70806796,32.0419,0.04726332,353.0,1.0,6.0,5.24631,1.6227512,20.5597234,1.38,6.0,1.953,1.70683411,80.063
113.0,54.5,82.0,98.0,5.2412,0.82323552,0.85179,1.857,2.0,0.8,3.65367851,15.0234751,0.05675657,436.6,0.0,10.0,20.46362,14.5217696,0.85179,0.715,4.0,2.54,2.51258831,76.141
80.5,11.0,13.0,40.0,0.346,9.57789,9.27770838,1.67229184,4.0,4.49,0.78954903,16.0425,0.05274073,376.0,0.0,8.0,20.46362,0.82323552,60.853,0.159,4.0,1.698,2.51258831,31.9988
89.0,29.5,73.0,79.5,5.182,0.41778,0.8282,0.45,4.0,19.029,3.65367851,60.075,0.05275517,423.35,0.0,4.0,20.46362,0.32192,0.32192,1.67229184,2.64,1.501,0.2192031,20.00689
73.0,152.0,9.5,49.5,3.09855,14.5217696,0.173,1.109,2.0,2.448,0.36769553,47.0134,0.05211999,448.0,0.0,4.0,5.182,20.5597234,0.34634,1.4719,2.0,2.54,0.41295036,30.0061
26.0,40.0,110.0,21.0,2.0273542,0.82323552,0.25021,0.828,2.0,2.77,1.70683411,80.063,0.04071358,358.0,1.0,12.0,100000.0,5.2412,0.34634,1.38,2.0,0.8,2.43810418,79.926277
86.0,17.0,9.5,105.0,5.24631,14.5217696,1.43767,0.11011,4.0,1.562,2.71717568,2.01588,0.05248072,457.0,1.0,4.0,5.182,0.82323552,5.2412,1.81,6.0,2.54,1.70683411,80.063
9.0,60.5,38.5,22.5,5.24631,0.39021,10.4401993,2.331,6.0,5.61,2.23345025,17.0305,0.03201732,370.2,0.0,10.0,5.24631,9.94664516,0.20285674,1.857,2.64,1.501,0.07071068,44.071
13.0,158.0,122.0,50.5,3.09855,1.43767,0.79287185,1.51,2.0,3.487,0.24859606,60.075,0.09969431,331.95,1.0,6.0,5.182,20.5597234,0.1091,1.51,2.0,1.71,0.98570685,80.063
61.5,110.0,21.0,50.5,5.2412,1.0012,9.27770838,1.847,4.0,1.298,1.70683411,44.0095,0.1504867,287.25,0.0,8.64,20.46362,8.34923939,1.6227512,0.159,4.0,0.8,1.70683411,35.976793
151.0,27.5,72.0,4.0,0.09107,10.4401993,0.79287185,0.45,2.0,0.8,0.78954903,2.01588,0.04731758,371.5,0.0,6.0,0.09107,20.5597234,0.79287185,1.109,2.64,2.515,0.41295036,28.0101
140.0,80.5,41.5,33.5,2.0273542,0.3441739,0.79287185,1.2974,6.0,2.448,1.70683411,31.9988,0.05675657,353.2,0.0,12.0,0.346,0.20285674,0.79287185,0.11011,2.64,1.67892,0.36769553,32.0419
89.0,92.0,56.0,22.5,9.40552614,0.3441739,1.176646,1.2974,6.0,4.188,0.07071068,30.0061,0.05438049,311.45,1.0,6.0,0.346,0.20285674,5.2412,1.957,4.0,1.71,2.09633013,28.0101
0.0,10.0,2.5,33.5,9.94664516,1.176646,6.42637,1.6552,6.0,2.448,1.6541585,79.926277,0.05594409,287.25,1.0,12.0,5.24631,9.94664516,1.6227512,0.828,2.0,8.749,2.09633013,44.071
122.0,12.5,87.0,17.5,20.47007,0.41778,1.92252895,1.4719,2.0,2.103,0.98570685,32.0419,0.06561478,307.75,0.0,6.0,100000.0,0.85179,6.22750356,0.159,2.0,2.515,0.41295036,50.96825
23.0,28.0,43.5,102.0,9.94664516,5.2412,1.92252895,1.51,2.0,4.188,0.41295036,47.0134,0.03586361,335.3,1.0,4.0,20.47007,0.39021,60.853,0.159,6.0,3.438,2.43810418,79.926277
155.0,52.5,59.0,0.5,5.24631,8.34923939,0.20285674,1.6552,6.0,1.562,0.98994949,17.0305,0.07815196,363.6,0.0,8.0,27.8806313,0.817084,6.22750356,1.957,2.64,1.67892,0.83259471,79.926277
99.0,0.5,53.0,35.0,4.25240851,0.50424,10.4401993,1.62,2.0,1.698,4.47975717,47.0134,0.04673175,303.0,1.0,12.0,5.182,0.50424,0.1091,1.857,2.64,5.39684463,3.02500281,146.0554
143.0,129.0,45.0,23.0,5.24631,0.41778,0.32192,1.67229184,6.0,2.448,0.0,127.91241,0.0560216,330.0,0.0,4.0,20.46362,0.1091,1.43767,1.857,4.0,4.49,0.98994949,32.0419
78.5,63.5,5.0,100.0,27.8806313,1.92252895,0.09107,0.828,6.0,0.8,0.07071068,15.0234751,0.05211999,376.5,1.0,12.0,100000.0,0.50424,0.4912,0.828,2.64,1.71,2.00771188,44.0095
34.5,88.0,78.0,70.0,5.24631,8.34923939,4.74202,1.109,4.0,2.448,0.2192031,79.926277,0.05793135,301.9,0.0,10.0,4.25240851,0.39021,0.09107,0.159,4.0,4.49,0.76412215,34.0329
9.5,2.5,97.0,74.5,9.40552614,0.85179,1.43767,1.109,2.0,2.215,0.98994949,93.9529,0.05274073,369.5,0.0,8.64,5.2412,0.32192,0.34634,1.67229184,4.0,1.501,2.71717568,79.926277
74.0,94.0,60.5,39.0,20.46362,0.82323552,0.39021,1.6331,6.0,3.02,3.02500281,50.96825,0.038572,370.2,1.0,8.0,5.24631,0.346,9.27770838,1.826526,2.0,0.787,3.02500281,50.96825
21.5,14.0,97.0,81.5,4.828,0.39021,0.79287185,1.6552,4.0,5.453,0.98994949,31.9988,0.06561478,347.15,0.0,8.0,4.25240851,0.85179,1.92252895,1.2974,6.0,2.54,0.07071068,60.075
26.0,156.0,93.0,21.0,9.57789,1.67195,0.173,1.813,4.0,7.325,1.6541585,44.0095,0.04571761,377.0,0.0,8.0,5.182,0.1091,0.79287185,0.11011,6.0,4.49,1.6541585,95.92568
74.5,134.0,117.0,69.5,0.09107,6.42637,0.32192,0.11011,2.0,1.298,0.46244783,26.0373,0.06567769,373.0,1.0,10.0,20.47007,5.2412,0.62048896,1.51,2.0,1.562,0.30886424,31.9988
22.5,3.0,101.0,29.5,5.182,0.3441739,1.67195,0.715,2.0,5.61,3.70806796,16.0425,0.05514621,368.5,0.0,4.0,9.94664516,0.32192,1.6227512,0.0,2.0,0.69436,2.09633013,28.0134
71.5,81.0,1.0,24.0,27.8806313,20.5597234,0.32192,1.4719,4.0,1.953,2.23345025,30.0061,0.11531308,360.5,0.0,12.0,4.25240851,60.853,8.34923939,1.847,2.64,5.09,0.30886424,80.063
61.5,94.0,3.0,70.0,4.25240851,0.50424,1.13425949,0.159,2.0,3.438,2.00771188,35.976793,0.06365723,335.3,1.0,6.0,5.182,0.82323552,1.43767,0.11011,6.0,1.501,0.0,76.141
35.0,90.0,23.0,108.0,20.46362,6.42637,0.4912,1.847,2.0,4.188,2.71717568,44.071,0.06509057,375.0,1.0,8.0,5.2412,1.92252895,0.32192,0.828,4.0,4.49,0.41295036,31.9988
82.5,20.5,63.0,51.5,5.2412,0.25021,0.2935265,1.957,2.0,2.77,2.83596962,47.0134,0.05274073,363.0,0.0,8.64,20.46362,14.5217696,6.22750356,1.2974,6.0,4.49,0.41295036,16.0425
16.0,32.5,111.0,82.0,5.1734,1.92252895,6.42637,0.828,4.0,2.215,2.71717568,44.071,0.13865993,368.5,0.0,8.0,0.346,0.817084,0.1091,1.51,4.0,2.507,0.30886424,95.92568
129.0,50.5,0.5,110.0,5.1734,8.34923939,0.32192,1.813,6.0,2.507,1.70683411,50.96825,0.05248072,324.7,0.0,6.0,4.25240851,1.67195,20.5597234,1.109,4.0,2.103,0.78954903,16.0425
75.0,141.0,110.0,75.0,100000.0,1.92252895,0.2935265,1.62,4.0,1.698,0.07071068,18.0153,0.04172132,363.6,1.0,6.0,5.24631,5.2412,0.79287185,1.38,4.0,19.029,0.98570685,2.01588
139.0,37.5,54.5,78.5,9.94664516,1.69614207,1.176646,2.331,6.0,19.029,2.51258831,2.01588,0.05374875,300.0,0.0,12.0,0.346,0.346,0.817084,1.857,6.0,1.71,0.2192031,28.0101
108.0,62.5,70.0,10.0,9.94664516,0.62048896,0.817084,0.45,2.0,1.953,1.70683411,50.96825,0.06320568,352.5,1.0,8.64,4.25240851,14.5217696,1.69614207,1.847,2.64,0.8,0.83259471,18.0153
91.0,41.5,83.0,15.5,20.47007,14.5217696,60.853,0.715,4.0,2.247,2.23345025,30.0061,0.16984114,370.2,1.0,10.0,0.09107,0.50424,0.34634,1.2974,4.0,0.8,2.83596962,80.063
134.0,4.0,103.0,2.0,5.1734,1.0012,0.8282,0.159,6.0,3.487,0.36769553,50.96825,0.04375836,348.95,1.0,8.64,5.24631,20.5597234,0.32192,1.109,2.64,2.103,1.6541585,79.926277
88.0,55.5,73.0,29.0,5.182,10.4401993,0.85179,1.6331,2.0,3.21,3.65367851,95.92568,0.05211999,386.7,1.0,10.0,20.46362,9.94664516,1.67195,1.67229184,2.64,1.953,0.76412215,28.97
81.0,102.0,30.0,58.5,9.57789,9.94664516,0.36749,1.51,6.0,3.487,0.98994949,31.9988,0.06094009,342.75,0.0,6.0,100000.0,0.62048896,0.34634,1.38,4.0,19.029,2.71717568,20.00689
65.0,149.0,104.0,82.5,9.40552614,1.69614207,20.5597234,0.11011,6.0,4.188,4.47975717,50.96825,0.05438049,324.7,1.0,12.0,27.8806313,9.94664516,6.22750356,1.2974,2.0,3.21,3.02500281,32.0419
154.0,21.5,28.5,29.5,27.8806313,14.5217696,1.13425949,0.0,2.0,2.448,2.51258831,64.064,0.04726332,351.0,1.0,6.0,0.346,0.50424,0.32192,1.957,2.64,5.39684463,2.71717568,32.0419
15.0,106.0,91.0,33.5,3.09855,1.29536237,20.5597234,0.159,2.0,3.882,0.41295036,17.0073,0.09969431,312.5,0.0,12.0,20.47007,0.09107,60.853,0.159,6.0,2.448,4.41046071,30.0061
45.5,23.0,102.0,57.5,0.09107,1.0012,0.79287185,0.11011,6.0,1.501,2.23345025,127.91241,0.04172132,348.95,0.0,8.64,20.46362,0.82323552,0.85179,1.109,2.64,2.54,0.36769553,44.0095
46.0,15.0,9.0,68.0,9.57789,1.92252895,1.69614207,0.0,4.0,2.77,0.2192031,2.01588,0.04375836,330.2,0.0,8.64,27.8806313,1.69614207,0.34634,1.847,4.0,1.698,1.95366544,30.0061
102.0,51.0,14.5,109.0,0.09107,1.176646,9.27770838,2.331,2.0,1.136,3.65367851,44.071,0.05196981,353.0,0.0,8.64,5.24631,0.32192,1.92252895,1.38,4.0,19.029,0.98994949,53.97324
5.5,48.5,27.5,65.5,5.2412,0.32192,0.62048896,1.51,6.0,3.616,3.70806796,44.071,0.11531308,339.95,0.0,8.0,9.94664516,16051.1165,0.85179,1.2974,4.0,8.749,2.09633013,18.0153
158.0,117.0,29.5,25.0,5.2412,14.5217696,0.36749,1.813,4.0,3.487,1.64048773,64.064,0.0655435,372.0,0.0,12.0,5.182,9.94664516,1.67195,0.715,4.0,1.67892,2.43810418,16.0425
39.0,85.0,71.0,54.5,9.57789,0.09107,0.09107,0.828,2.0,4.49,0.78954903,16.0425,0.1504867,303.0,0.0,10.0,9.94664516,1.43767,0.62048896,1.109,4.0,2.215,2.51258831,30.0061
6.0,149.0,50.5,54.5,5.182,0.41778,0.79287185,2.331,6.0,2.448,0.41295036,44.071,0.05920685,363.6,0.0,10.0,5.182,1.92252895,0.173,1.81,2.64,5.09,0.76412215,18.0153
97.0,140.0,103.0,1.0,0.346,1.0012,1.92252895,1.4719,4.0,7.325,0.36769553,30.0061,0.05374875,354.95,0.0,8.0,20.47007,0.39021,0.1091,1.38,6.0,2.215,0.2192031,20.00689
81.5,60.0,4.5,55.0,5.2412,0.32192,0.36749,1.6552,6.0,1.953,1.6541585,28.0101,0.06561478,287.25,1.0,10.0,100000.0,10.4401993,1.69614207,1.38,6.0,1.71,1.95366544,30.0061
104.0,66.0,99.0,56.0,20.47007,0.85179,0.20285674,0.0,4.0,7.325,1.64048773,34.0329,0.0557398,314.8,0.0,12.0,5.182,1.43767,10.4401993,1.67229184,4.0,4.49,1.70683411,44.071
112.0,26.0,50.0,40.5,20.47007,5.2412,1.92252895,0.828,2.0,3.21,2.00771188,20.00689,0.05374875,330.2,0.0,8.64,100000.0,0.09107,9.27770838,1.847,6.0,2.507,1.6541585,44.071
33.0,122.0,67.0,46.0,0.09107,60.853,60.853,1.857,4.0,2.507,1.3576325,80.063,0.06481883,311.45,0.0,12.0,20.46362,0.39021,0.173,0.715,2.0,2.215,1.95366544,2.33375552
70.0,6.5,41.5,82.5,5.24631,0.82323552,0.39021,0.11011,4.0,19.029,3.70806796,34.0329,0.04135837,331.95,0.0,6.0,5.182,0.20285674,0.85179,0.715,2.64,5.09,0.83259471,44.0095
66.5,54.5,73.0,27.5,9.94664516,1.0012,6.42637,1.2974,4.0,3.21,0.36769553,93.9529,0.05438049,346.0,1.0,6.0,5.2412,1.69614207,0.09107,1.51,2.0,3.02,0.2192031,28.97
28.5,158.0,12.0,19.5,4.25240851,0.25021,0.79287185,1.6331,4.0,1.298,3.65367851,79.926277,0.05211274,373.0,1.0,8.0,9.94664516,0.346,20.5597234,1.857,4.0,2.54,0.78954903,80.063
25.5,94.0,83.5,75.5,2.0273542,1.69614207,10.4401993,1.51,6.0,2.215,0.76412215,18.0153,0.03636004,377.0,1.0,8.64,100000.0,0.50424,0.1091,1.38,4.0,5.39684463,0.98570685,32.0419
49.0,77.5,93.0,8.5,9.57789,1.92252895,0.173,0.0,6.0,7.325,0.46244783,79.926277,0.05196981,330.2,1.0,10.0,27.8806313,1.6227512,1.92252895,1.109,2.0,1.501,0.98570685,95.92568
57.5,59.0,99.0,51.5,0.09107,60.853,0.25021,0.159,4.0,3.616,0.84357839,127.91241,0.13933063,347.85,1.0,8.64,20.47007,14.5217696,5.2412,1.51,2.0,2.507,0.41295036,79.926277
109.0,45.5,71.0,73.0,3.09855,6.42637,0.25021,1.957,2.0,3.616,0.24859606,127.91241,0.038427,375.0,1.0,4.0,20.46362,0.09107,20.5597234,1.857,2.0,2.103,0.84357839,79.926277
40.5,7.5,113.0,16.0,9.94664516,0.3441739,0.32192,0.45,4.0,1.71,0.84357839,28.0101,0.04158464,353.2,0.0,4.0,100000.0,1.43767,60.853,0.0,6.0,3.616,0.30886424,18.0153
38.5,128.0,68.0,15.0,5.1734,0.32192,0.32192,1.4719,2.0,5.61,2.71717568,15.0234751,0.04467116,333.9,1.0,10.0,0.346,1.92252895,60.853,1.38,6.0,2.103,0.36769553,44.071
100.0,76.0,120.0,20.0,27.8806313,1.67195,20.5597234,2.331,6.0,3.21,0.46244783,93.9529,0.04752233,372.0,1.0,12.0,27.8806313,0.62048896,1.43767,0.828,4.0,8.749,0.98570685,31.9988
83.0,10.5,18.5,8.5,9.94664516,0.3528,1.43767,1.81,4.0,1.71,0.24859606,17.0305,0.06977337,370.2,1.0,10.0,9.94664516,5.2412,1.69614207,1.81,2.0,1.67892,0.84357839,28.0101
126.0,83.0,74.5,66.0,4.828,1.176646,0.32192,1.38,2.0,2.507,2.23345025,34.0329,0.17210159,376.0,1.0,8.64,5.2412,5.2412,20.5597234,1.38,4.0,5.09,1.64048773,44.071
82.5,133.0,32.5,30.5,27.8806313,0.85179,60.853,0.715,4.0,1.71,0.76412215,20.00689,0.04614754,339.95,1.0,4.0,5.2412,0.817084,0.817084,0.159,4.0,3.02,0.78954903,2.01588
77.0,19.0,55.5,33.5,5.182,8.34923939,0.817084,1.957,4.0,1.136,2.23345025,18.0153,0.05367046,351.0,1.0,8.64,5.2412,0.346,0.09107,1.67229184,2.64,1.501,3.02500281,34.0329
7.5,5.5,107.0,71.5,5.182,0.3441739,18.5519677,0.159,2.0,5.39684463,1.3576325,30.0061,0.13933063,330.2,0.0,8.0,100000.0,5.2412,1.6227512,1.81,4.0,1.698,0.84357839,20.00689
151.0,12.0,52.0,43.5,4.828,18.5519677,0.85179,1.813,6.0,4.188,2.00771188,26.0373,0.05235715,329.0,1.0,8.64,0.09107,14.5217696,9.27770838,1.957,2.64,8.749,0.98994949,95.92568
56.5,3.0,21.5,18.5,5.2412,0.20285674,1.67195,1.109,2.0,5.61,0.2192031,30.0061,0.04357088,386.7,0.0,8.64,20.47007,16051.1165,0.32192,0.715,2.64,5.39684463,0.07071068,34.0329
98.0,27.0,25.5,96.0,4.25240851,60.853,1.43767,0.159,4.0,2.448,2.00771188,93.9529,0.0496352,444.4,1.0,12.0,4.25240851,1.43767,5.2412,1.51,2.0,0.8,1.95366544,28.0101
96.0,59.5,14.0,93.0,0.09107,0.62048896,1.69614207,2.331,4.0,1.562,0.36769553,64.064,0.04110102,470.0,1.0,8.0,100000.0,0.50424,20.5597234,1.847,2.0,1.501,0.36769553,50.96825
6.5,96.0,72.5,30.0,3.09855,0.817084,8.34923939,0.0,2.0,2.103,1.95366544,146.0554,0.04158464,331.95,0.0,8.64,4.25240851,0.3528,1.67195,0.715,4.0,3.438,0.2192031,44.0095
80.0,97.0,50.5,55.5,9.40552614,0.62048896,0.4912,0.159,4.0,2.515,0.07071068,28.0134,0.04752233,363.6,0.0,12.0,4.25240851,8.34923939,0.32192,1.857,2.64,1.67892,0.83259471,79.926277
53.0,45.5,73.0,45.5,20.46362,1.0012,0.85179,1.109,2.0,2.77,0.46244783,60.075,0.05235715,399.5,1.0,10.0,20.46362,10.4401993,9.27770838,1.826526,2.0,0.8,0.84357839,79.926277
2.5,65.5,68.0,24.5,5.182,14.5217696,20.5597234,1.6331,2.0,1.71,1.6541585,53.97324,0.04412344,373.0,1.0,8.0,20.46362,1.92252895,0.79287185,0.0,2.64,3.02,2.00771188,93.9529
118.0,45.0,110.0,37.0,9.57789,6.42637,0.62048896,1.109,2.0,1.562,2.00771188,18.0153,0.18249688,423.35,0.0,12.0,5.24631,0.817084,0.32192,0.0,6.0,3.21,0.78954903,95.92568
39.0,68.5,45.0,72.0,5.24631,0.32192,60.853,1.4719,4.0,4.188,0.24859606,50.96825,0.04614754,360.5,0.0,8.0,0.346,1.67195,0.1091,1.847,6.0,5.61,4.41046071,20.00689
136.0,42.0,21.5,50.0,0.09107,18.5519677,0.62048896,2.331,4.0,2.54,1.70683411,20.00689,0.04127771,335.3,0.0,12.0,0.09107,0.32192,0.39021,0.0,2.0,2.507,3.02500281,76.141
67.0,72.0,21.0,58.5,4.25240851,9.57789,1.67195,1.6331,6.0,5.39684463,1.64048773,28.0532,0.0655435,384.2,1.0,8.64,20.46362,0.82323552,0.1091,0.11011,2.64,1.67892,0.83259471,2.33375552
75.5,113.0,82.5,111.0,20.46362,5.2412,0.2935265,0.11011,2.0,2.77,1.6541585,35.976793,0.11915375,386.7,0.0,8.64,27.8806313,0.85179,1.67195,1.67229184,2.0,2.54,0.41295036,95.92568
14.0,68.5,55.5,81.0,20.47007,0.346,0.8282,1.813,2.0,7.325,0.46244783,18.0153,0.04248722,335.3,0.0,6.0,9.94664516,60.853,0.20285674,0.0,4.0,1.562,2.00771188,17.0305
27.5,10.0,40.5,66.0,9.94664516,0.85179,9.27770838,1.813,4.0,5.453,0.76412215,17.0305,0.05141102,369.5,0.0,4.0,20.46362,1.67195,5.2412,1.847,2.0,2.448,2.71717568,28.97
120.0,16.5,8.0,95.0,9.57789,0.25021,10.4401993,1.38,2.0,3.438,2.51258831,17.0305,0.05675657,370.6,0.0,12.0,0.346,0.85179,9.27770838,1.4719,2.0,1.71,4.41046071,44.0095
15.0,16.0,31.5,41.5,4.25240851,9.57789,0.79287185,1.847,2.0,1.953,0.84357839,28.0134,0.04077859,354.95,0.0,4.0,20.47007,0.1091,0.173,1.826526,2.64,1.71,2.83596962,30.0061
5.5,73.0,50.5,89.0,4.25240851,18.5519677,0.4912,1.38,2.0,4.49,0.2192031,16.0425,0.0560216,342.75,1.0,12.0,4.25240851,0.82323552,5.2412,0.715,2.0,0.69436,0.84357839,79.926277
29.5,71.0,3.5,59.5,100000.0,5.2412,0.8282,0.159,4.0,2.77,2.00771188,60.075,0.05467328,455.2,1.0,10.0,0.346,14.5217696,0.173,0.159,4.0,4.49,0.98570685,79.926277
20.0,119.0,9.5,10.0,0.346,0.82323552,0.62048896,0.0,6.0,1.71,3.70806796,50.96825,0.04726332,363.0,1.0,8.0,0.09107,20.5597234,0.62048896,0.11011,6.0,4.49,0.2192031,93.9529
51.0,20.0,37.0,77.0,20.46362,1.67195,0.4912,1.2974,4.0,3.438,2.00771188,17.0305,0.06094009,347.15,0.0,8.0,5.2412,1.6227512,0.09107,1.38,2.0,2.515,0.2192031,34.0329
95.0,40.5,36.0,41.0,0.09107,20.5597234,0.62048896,1.2974,2.0,1.953,1.95366544,47.0134,0.05920685,386.7,1.0,8.64,5.24631,9.94664516,5.2412,1.51,2.64,5.09,0.07071068,35.976793
139.0,168.0,22.5,48.5,20.47007,0.50424,60.853,1.2974,2.0,3.438,2.00771188,18.0153,0.0550182,344.7,0.0,6.0,0.346,0.82323552,1.92252895,1.857,6.0,3.438,2.83596962,44.071
146.0,18.0,53.0,0.5,100000.0,0.39021,0.4912,0.715,4.0,3.882,2.92049556,53.97324,0.06509057,444.4,0.0,8.0,20.46362,9.94664516,0.62048896,0.828,2.0,1.698,1.6541585,32.0419
13.0,58.0,51.5,50.0,4.25240851,9.94664516,0.173,1.957,4.0,2.103,0.2192031,44.071,0.038427,285.5,1.0,6.0,20.46362,0.82323552,51.3761602,0.828,2.0,5.39684463,1.95366544,93.9529
70.0,56.0,17.0,23.5,5.182,1.43767,0.8282,0.11011,2.0,0.8,1.6541585,80.063,0.06048193,376.0,0.0,4.0,100000.0,9.94664516,1.67195,0.828,2.0,2.54,2.09633013,93.9529
69.5,141.0,14.0,22.0,9.94664516,0.09107,0.20285674,1.4719,2.0,3.616,0.41295036,30.026,0.04375836,338.0,1.0,8.64,5.2412,1.6227512,5.2412,1.109,2.0,1.562,0.07071068,28.0101
57.5,62.0,85.0,29.0,5.2412,9.94664516,9.27770838,0.45,2.0,2.215,2.83596962,28.0532,0.06049039,416.5,0.0,8.0,27.8806313,1.67195,0.173,0.11011,2.0,0.8,2.83596962,28.0134
53.0,141.0,73.0,34.5,20.47007,0.32192,1.176646,0.159,4.0,5.453,3.70806796,35.976793,0.06048193,377.0,0.0,6.0,27.8806313,20.5597234,1.92252895,1.857,2.0,3.21,1.64048773,16.0425
65.5,140.0,106.0,71.5,5.1734,1.43767,0.32192,1.826526,2.0,1.953,0.0,35.976793,0.0669931,373.0,1.0,6.0,0.09107,9.94664516,1.69614207,1.67229184,2.0,3.438,3.02500281,2.01588
117.0,139.0,7.5,63.0,5.2412,0.32192,0.62048896,0.159,2.0,3.02,0.98570685,28.0134,0.03201732,301.9,1.0,10.0,0.09107,1.67195,0.20285674,1.51,2.64,1.71,1.70683411,18.0153
28.0,155.0,14.5,15.5,5.1734,0.85179,0.62048896,1.67229184,4.0,5.09,3.02500281,141.939,0.04930319,332.02,0.0,4.0,5.2412,16051.1165,1.43767,0.828,6.0,2.507,0.98570685,17.0305
148.0,69.0,16.0,59.5,9.57789,1.67195,0.79287185,1.6552,2.0,2.507,4.47975717,26.0373,0.17210159,413.8,0.0,8.0,0.346,1.43767,0.4912,1.957,6.0,0.787,2.51258831,93.9529
140.0,12.0,55.0,19.0,0.09107,0.50424,0.817084,0.11011,4.0,1.953,2.71717568,80.063,0.04760546,366.7,1.0,10.0,20.46362,1.67195,60.853,1.51,4.0,8.749,2.43810418,32.0419
16.5,77.0,49.5,2.5,100000.0,9.57789,1.13425949,0.11011,2.0,2.507,1.70683411,44.071,0.038572,376.5,1.0,6.0,20.46362,5.2412,0.1091,1.957,4.0,5.09,1.70683411,79.926277
54.5,116.0,61.5,49.5,3.09855,1.0012,0.817084,0.159,2.0,3.616,1.95366544,53.97324,0.05594409,330.2,0.0,8.64,0.09107,0.1091,0.1091,1.847,6.0,3.616,0.41295036,28.0101
